Month,Quarter,Year,LineOfBusiness,AmountType,Estimate,Actual
2024-10,Q4-2024,2024,MOTOR,ExternalCost,5500000,5335000
2024-10,Q4-2024,2024,MOTOR,InternalCost,6600000,
2024-10,Q4-2024,2024,MOTOR,Premium,55000000,53350000
2024-10,Q4-2024,2024,SPECIALTY_AVTN,CapitalCost,1375000,
2024-10,Q4-2024,2024,SPECIALTY_AVTN,Claims,15750000,15277500
2024-10,Q4-2024,2024,SPECIALTY_AVTN,ExpectedProfit,1250000,
2024-10,Q4-2024,2024,SPECIALTY_AVTN,ExternalCost,2500000,2425000
2024-10,Q4-2024,2024,SPECIALTY_AVTN,InternalCost,3000000,
2024-10,Q4-2024,2024,SPECIALTY_AVTN,Premium,25000000,24250000
2024-10,Q4-2024,2024,TECH_RISK,CapitalCost,1760000,
2024-10,Q4-2024,2024,TECH_RISK,Claims,16860444,16354631
2024-10,Q4-2024,2024,TECH_RISK,ExpectedProfit,1600000,
2024-10,Q4-2024,2024,TECH_RISK,ExternalCost,3200000,3104000
2024-10,Q4-2024,2024,TECH_RISK,InternalCost,3840000,
2024-10,Q4-2024,2024,TECH_RISK,Premium,32000000,31040000
2024-10,Q4-2024,2024,TRANSPORT,CapitalCost,1210000,
2024-10,Q4-2024,2024,TRANSPORT,Claims,15390222,14928515
2024-10,Q4-2024,2024,TRANSPORT,ExpectedProfit,1100000,
2024-10,Q4-2024,2024,TRANSPORT,ExternalCost,2200000,2134000
2024-10,Q4-2024,2024,TRANSPORT,InternalCost,2640000,
2024-10,Q4-2024,2024,TRANSPORT,Premium,22000000,21340000
2024-11,Q4-2024,2024,COMM_FIRE,CapitalCost,2475000,
2024-11,Q4-2024,2024,COMM_FIRE,Claims,26080000,27384000
2024-11,Q4-2024,2024,COMM_FIRE,ExpectedProfit,2250000,
2024-11,Q4-2024,2024,COMM_FIRE,ExternalCost,4500000,4725000
2024-11,Q4-2024,2024,COMM_FIRE,InternalCost,5400000,
2024-11,Q4-2024,2024,COMM_FIRE,Premium,45000000,47250000
2024-11,Q4-2024,2024,HOUSEHOLD,CapitalCost,4125000,
2024-11,Q4-2024,2024,HOUSEHOLD,Claims,47246345,49608662
2024-11,Q4-2024,2024,HOUSEHOLD,ExpectedProfit,3750000,
2024-11,Q4-2024,2024,HOUSEHOLD,ExternalCost,7500000,7875000
2024-11,Q4-2024,2024,HOUSEHOLD,InternalCost,9000000,
2024-11,Q4-2024,2024,HOUSEHOLD,Premium,71250000,74812500
2024-11,Q4-2024,2024,LIABILITY,CapitalCost,2090000,
2024-11,Q4-2024,2024,LIABILITY,Claims,23940000,25137000
2024-11,Q4-2024,2024,LIABILITY,ExpectedProfit,1900000,
2024-11,Q4-2024,2024,LIABILITY,ExternalCost,3800000,3990000
2024-11,Q4-2024,2024,LIABILITY,InternalCost,4560000,
2024-11,Q4-2024,2024,LIABILITY,Premium,38000000,39900000
2024-11,Q4-2024,2024,LIFE_HEALTH_EU,CapitalCost,2640000,
2024-11,Q4-2024,2024,LIFE_HEALTH_EU,Claims,27840000,29232000
2024-11,Q4-2024,2024,LIFE_HEALTH_EU,ExpectedProfit,2400000,
2024-11,Q4-2024,2024,LIFE_HEALTH_EU,ExternalCost,4800000,5040000
2024-11,Q4-2024,2024,LIFE_HEALTH_EU,InternalCost,5760000,
2024-11,Q4-2024,2024,LIFE_HEALTH_EU,Premium,48000000,50400000
2024-11,Q4-2024,2024,MOTOR,CapitalCost,3025000,
2024-11,Q4-2024,2024,MOTOR,Claims,37585778,39465067
2024-11,Q4-2024,2024,MOTOR,ExpectedProfit,2750000,
2024-11,Q4-2024,2024,MOTOR,ExternalCost,5500000,5775000
2024-11,Q4-2024,2024,MOTOR,InternalCost,6600000,
2024-11,Q4-2024,2024,MOTOR,Premium,55000000,57750000
2024-11,Q4-2024,2024,SPECIALTY_AVTN,CapitalCost,1375000,
2024-11,Q4-2024,2024,SPECIALTY_AVTN,Claims,15750000,16537500
2024-11,Q4-2024,2024,SPECIALTY_AVTN,ExpectedProfit,1250000,
2024-11,Q4-2024,2024,SPECIALTY_AVTN,ExternalCost,2500000,2625000
2024-11,Q4-2024,2024,SPECIALTY_AVTN,InternalCost,3000000,
2024-11,Q4-2024,2024,SPECIALTY_AVTN,Premium,25000000,26250000
2024-11,Q4-2024,2024,TECH_RISK,CapitalCost,1760000,
2024-11,Q4-2024,2024,TECH_RISK,Claims,17654044,18536746
2024-11,Q4-2024,2024,TECH_RISK,ExpectedProfit,1600000,
2024-11,Q4-2024,2024,TECH_RISK,ExternalCost,3200000,3360000
2024-11,Q4-2024,2024,TECH_RISK,InternalCost,3840000,
2024-11,Q4-2024,2024,TECH_RISK,Premium,32000000,33600000
2024-11,Q4-2024,2024,TRANSPORT,CapitalCost,1210000,
2024-11,Q4-2024,2024,TRANSPORT,Claims,16006222,16806533
2024-11,Q4-2024,2024,TRANSPORT,ExpectedProfit,1100000,
2024-11,Q4-2024,2024,TRANSPORT,ExternalCost,2200000,2310000
2024-11,Q4-2024,2024,TRANSPORT,InternalCost,2640000,
2024-11,Q4-2024,2024,TRANSPORT,Premium,22000000,23100000
2024-12,Q4-2024,2024,COMM_FIRE,CapitalCost,2475000,
2024-12,Q4-2024,2024,COMM_FIRE,Claims,28420000,27851600
2024-12,Q4-2024,2024,COMM_FIRE,ExpectedProfit,2250000,
2024-12,Q4-2024,2024,COMM_FIRE,ExternalCost,4500000,4410000
2024-12,Q4-2024,2024,COMM_FIRE,InternalCost,5400000,
2024-12,Q4-2024,2024,COMM_FIRE,Premium,45000000,44100000
2024-12,Q4-2024,2024,HOUSEHOLD,CapitalCost,4125000,
2024-12,Q4-2024,2024,HOUSEHOLD,Claims,48255484,47290374
2024-12,Q4-2024,2024,HOUSEHOLD,ExpectedProfit,3750000,
2024-12,Q4-2024,2024,HOUSEHOLD,ExternalCost,7500000,7350000
2024-12,Q4-2024,2024,HOUSEHOLD,InternalCost,9000000,
2024-12,Q4-2024,2024,HOUSEHOLD,Premium,67500000,66150000
2024-12,Q4-2024,2024,LIABILITY,CapitalCost,2090000,
2024-12,Q4-2024,2024,LIABILITY,Claims,23940000,23461200
2024-12,Q4-2024,2024,LIABILITY,ExpectedProfit,1900000,
2024-12,Q4-2024,2024,LIABILITY,ExternalCost,3800000,3724000
2024-12,Q4-2024,2024,LIABILITY,InternalCost,4560000,
2024-12,Q4-2024,2024,LIABILITY,Premium,38000000,37240000
2024-12,Q4-2024,2024,LIFE_HEALTH_EU,CapitalCost,2640000,
2024-12,Q4-2024,2024,LIFE_HEALTH_EU,Claims,27840000,27283200
2024-12,Q4-2024,2024,LIFE_HEALTH_EU,ExpectedProfit,2400000,
2024-12,Q4-2024,2024,LIFE_HEALTH_EU,ExternalCost,4800000,4704000
2024-12,Q4-2024,2024,LIFE_HEALTH_EU,InternalCost,5760000,
2024-12,Q4-2024,2024,LIFE_HEALTH_EU,Premium,48000000,47040000
2024-12,Q4-2024,2024,MOTOR,CapitalCost,3025000,
2024-12,Q4-2024,2024,MOTOR,Claims,36089778,35367982
2024-12,Q4-2024,2024,MOTOR,ExpectedProfit,2750000,
2024-12,Q4-2024,2024,MOTOR,ExternalCost,5500000,5390000
2024-12,Q4-2024,2024,MOTOR,InternalCost,6600000,
2024-12,Q4-2024,2024,MOTOR,Premium,55000000,53900000
2024-12,Q4-2024,2024,SPECIALTY_AVTN,CapitalCost,1375000,
2024-12,Q4-2024,2024,SPECIALTY_AVTN,Claims,15750000,15435000
2024-12,Q4-2024,2024,SPECIALTY_AVTN,ExpectedProfit,1250000,
2024-12,Q4-2024,2024,SPECIALTY_AVTN,ExternalCost,2500000,2450000
2024-12,Q4-2024,2024,SPECIALTY_AVTN,InternalCost,3000000,
2024-12,Q4-2024,2024,SPECIALTY_AVTN,Premium,25000000,24500000
2024-12,Q4-2024,2024,TECH_RISK,CapitalCost,1760000,
2024-12,Q4-2024,2024,TECH_RISK,Claims,20034844,19634147
2024-12,Q4-2024,2024,TECH_RISK,ExpectedProfit,1600000,
2024-12,Q4-2024,2024,TECH_RISK,ExternalCost,3200000,3136000
2024-12,Q4-2024,2024,TECH_RISK,InternalCost,3840000,
2024-12,Q4-2024,2024,TECH_RISK,Premium,32000000,31360000
2024-12,Q4-2024,2024,TRANSPORT,CapitalCost,1210000,
2024-12,Q4-2024,2024,TRANSPORT,Claims,16622222,16289778
2024-12,Q4-2024,2024,TRANSPORT,ExpectedProfit,1100000,
2024-12,Q4-2024,2024,TRANSPORT,ExternalCost,2200000,2156000
2024-12,Q4-2024,2024,TRANSPORT,InternalCost,2640000,
2024-12,Q4-2024,2024,TRANSPORT,Premium,22000000,21560000
2025-01,Q1-2025,2025,COMM_FIRE,CapitalCost,2475000,
2025-01,Q1-2025,2025,COMM_FIRE,Claims,28420000,28704200
2025-01,Q1-2025,2025,COMM_FIRE,ExpectedProfit,2250000,
2025-01,Q1-2025,2025,COMM_FIRE,ExternalCost,4500000,4545000
2025-01,Q1-2025,2025,COMM_FIRE,InternalCost,5400000,
2025-01,Q1-2025,2025,COMM_FIRE,Premium,45000000,45450000
2025-01,Q1-2025,2025,HOUSEHOLD,CapitalCost,4125000,
2025-01,Q1-2025,2025,HOUSEHOLD,Claims,48866345,49355008
2025-01,Q1-2025,2025,HOUSEHOLD,ExpectedProfit,3750000,
2025-01,Q1-2025,2025,HOUSEHOLD,ExternalCost,7500000,7575000
2025-01,Q1-2025,2025,HOUSEHOLD,InternalCost,9000000,
2025-01,Q1-2025,2025,HOUSEHOLD,Premium,71250000,71962500
2025-01,Q1-2025,2025,LIABILITY,CapitalCost,2090000,
2025-01,Q1-2025,2025,LIABILITY,Claims,23940000,24179400
2025-01,Q1-2025,2025,LIABILITY,ExpectedProfit,1900000,
2025-01,Q1-2025,2025,LIABILITY,ExternalCost,3800000,3838000
2025-01,Q1-2025,2025,LIABILITY,InternalCost,4560000,
2025-01,Q1-2025,2025,LIABILITY,Premium,38000000,38380000
2025-01,Q1-2025,2025,LIFE_HEALTH_EU,CapitalCost,2640000,
2025-01,Q1-2025,2025,LIFE_HEALTH_EU,Claims,27840000,28118400
2025-01,Q1-2025,2025,LIFE_HEALTH_EU,ExpectedProfit,2400000,
2025-01,Q1-2025,2025,LIFE_HEALTH_EU,ExternalCost,4800000,4848000
2025-01,Q1-2025,2025,LIFE_HEALTH_EU,InternalCost,5760000,
2025-01,Q1-2025,2025,LIFE_HEALTH_EU,Premium,48000000,48480000
2025-01,Q1-2025,2025,MOTOR,CapitalCost,3025000,
2025-01,Q1-2025,2025,MOTOR,Claims,36089778,36450676
2025-01,Q1-2025,2025,MOTOR,ExpectedProfit,2750000,
2025-01,Q1-2025,2025,MOTOR,ExternalCost,5500000,5555000
2025-01,Q1-2025,2025,MOTOR,InternalCost,6600000,
2025-01,Q1-2025,2025,MOTOR,Premium,55000000,55550000
2025-01,Q1-2025,2025,SPECIALTY_AVTN,CapitalCost,1375000,
2025-01,Q1-2025,2025,SPECIALTY_AVTN,Claims,15750000,15907500
2025-01,Q1-2025,2025,SPECIALTY_AVTN,ExpectedProfit,1250000,
2025-01,Q1-2025,2025,SPECIALTY_AVTN,ExternalCost,2500000,2525000
2025-01,Q1-2025,2025,SPECIALTY_AVTN,InternalCost,3000000,
2025-01,Q1-2025,2025,SPECIALTY_AVTN,Premium,25000000,25250000
2025-01,Q1-2025,2025,TECH_RISK,CapitalCost,1760000,
2025-01,Q1-2025,2025,TECH_RISK,Claims,18447644,18632120
2025-01,Q1-2025,2025,TECH_RISK,ExpectedProfit,1600000,
2025-01,Q1-2025,2025,TECH_RISK,ExternalCost,3200000,3232000
2025-01,Q1-2025,2025,TECH_RISK,InternalCost,3840000,
2025-01,Q1-2025,2025,TECH_RISK,Premium,32000000,32320000
2025-01,Q1-2025,2025,TRANSPORT,CapitalCost,1210000,
2025-01,Q1-2025,2025,TRANSPORT,Claims,15390222,15544124
2025-01,Q1-2025,2025,TRANSPORT,ExpectedProfit,1100000,
2025-01,Q1-2025,2025,TRANSPORT,ExternalCost,2200000,2222000
2025-01,Q1-2025,2025,TRANSPORT,InternalCost,2640000,
2025-01,Q1-2025,2025,TRANSPORT,Premium,22000000,22220000
2025-02,Q1-2025,2025,COMM_FIRE,CapitalCost,2475000,
2025-02,Q1-2025,2025,COMM_FIRE,Claims,27250000,26160000
2025-02,Q1-2025,2025,COMM_FIRE,ExpectedProfit,2250000,
2025-02,Q1-2025,2025,COMM_FIRE,ExternalCost,4500000,4320000
2025-02,Q1-2025,2025,COMM_FIRE,InternalCost,5400000,
2025-02,Q1-2025,2025,COMM_FIRE,Premium,45000000,43200000
2025-02,Q1-2025,2025,HOUSEHOLD,CapitalCost,4125000,
2025-02,Q1-2025,2025,HOUSEHOLD,Claims,46879829,45004636
2025-02,Q1-2025,2025,HOUSEHOLD,ExpectedProfit,3750000,
2025-02,Q1-2025,2025,HOUSEHOLD,ExternalCost,7500000,7200000
2025-02,Q1-2025,2025,HOUSEHOLD,InternalCost,9000000,
2025-02,Q1-2025,2025,HOUSEHOLD,Premium,69000000,66240000
2025-02,Q1-2025,2025,LIABILITY,CapitalCost,2090000,
2025-02,Q1-2025,2025,LIABILITY,Claims,23940000,22982400
2025-02,Q1-2025,2025,LIABILITY,ExpectedProfit,1900000,
2025-02,Q1-2025,2025,LIABILITY,ExternalCost,3800000,3648000
2025-02,Q1-2025,2025,LIABILITY,InternalCost,4560000,
2025-02,Q1-2025,2025,LIABILITY,Premium,38000000,36480000
2025-02,Q1-2025,2025,LIFE_HEALTH_EU,CapitalCost,2640000,
2025-02,Q1-2025,2025,LIFE_HEALTH_EU,Claims,27840000,26726400
2025-02,Q1-2025,2025,LIFE_HEALTH_EU,ExpectedProfit,2400000,
2025-02,Q1-2025,2025,LIFE_HEALTH_EU,ExternalCost,4800000,4608000
2025-02,Q1-2025,2025,LIFE_HEALTH_EU,InternalCost,5760000,
2025-02,Q1-2025,2025,LIFE_HEALTH_EU,Premium,48000000,46080000
2025-02,Q1-2025,2025,MOTOR,CapitalCost,3025000,
2025-02,Q1-2025,2025,MOTOR,Claims,34593778,33210027
2025-02,Q1-2025,2025,MOTOR,ExpectedProfit,2750000,
2025-02,Q1-2025,2025,MOTOR,ExternalCost,5500000,5280000
2025-02,Q1-2025,2025,MOTOR,InternalCost,6600000,
2025-02,Q1-2025,2025,MOTOR,Premium,55000000,52800000
2025-02,Q1-2025,2025,SPECIALTY_AVTN,CapitalCost,1375000,
2025-02,Q1-2025,2025,SPECIALTY_AVTN,Claims,15750000,15120000
2025-02,Q1-2025,2025,SPECIALTY_AVTN,ExpectedProfit,1250000,
2025-02,Q1-2025,2025,SPECIALTY_AVTN,ExternalCost,2500000,2400000
2025-02,Q1-2025,2025,SPECIALTY_AVTN,InternalCost,3000000,
2025-02,Q1-2025,2025,SPECIALTY_AVTN,Premium,25000000,24000000
2025-02,Q1-2025,2025,TECH_RISK,CapitalCost,1760000,
2025-02,Q1-2025,2025,TECH_RISK,Claims,16860444,16186026
2025-02,Q1-2025,2025,TECH_RISK,ExpectedProfit,1600000,
2025-02,Q1-2025,2025,TECH_RISK,ExternalCost,3200000,3072000
2025-02,Q1-2025,2025,TECH_RISK,InternalCost,3840000,
2025-02,Q1-2025,2025,TECH_RISK,Premium,32000000,30720000
2025-02,Q1-2025,2025,TRANSPORT,CapitalCost,1210000,
2025-02,Q1-2025,2025,TRANSPORT,Claims,14774222,14183253
2025-02,Q1-2025,2025,TRANSPORT,ExpectedProfit,1100000,
2025-02,Q1-2025,2025,TRANSPORT,ExternalCost,2200000,2112000
2025-02,Q1-2025,2025,TRANSPORT,InternalCost,2640000,
2025-02,Q1-2025,2025,TRANSPORT,Premium,22000000,21120000
2025-03,Q1-2025,2025,COMM_FIRE,CapitalCost,2475000,
2025-03,Q1-2025,2025,COMM_FIRE,Claims,24910000,25657300
2025-03,Q1-2025,2025,COMM_FIRE,ExpectedProfit,2250000,
2025-03,Q1-2025,2025,COMM_FIRE,ExternalCost,4500000,4635000
2025-03,Q1-2025,2025,COMM_FIRE,InternalCost,5400000,
2025-03,Q1-2025,2025,COMM_FIRE,Premium,45000000,46350000
2025-03,Q1-2025,2025,HOUSEHOLD,CapitalCost,4125000,
2025-03,Q1-2025,2025,HOUSEHOLD,Claims,42997205,44287121
2025-03,Q1-2025,2025,HOUSEHOLD,ExpectedProfit,3750000,
2025-03,Q1-2025,2025,HOUSEHOLD,ExternalCost,7500000,7725000
2025-03,Q1-2025,2025,HOUSEHOLD,InternalCost,9000000,
2025-03,Q1-2025,2025,HOUSEHOLD,Premium,75000000,77250000
2025-03,Q1-2025,2025,LIABILITY,CapitalCost,2090000,
2025-03,Q1-2025,2025,LIABILITY,Claims,23940000,24658200
2025-03,Q1-2025,2025,LIABILITY,ExpectedProfit,1900000,
2025-03,Q1-2025,2025,LIABILITY,ExternalCost,3800000,3914000
2025-03,Q1-2025,2025,LIABILITY,InternalCost,4560000,
2025-03,Q1-2025,2025,LIABILITY,Premium,38000000,39140000
2025-03,Q1-2025,2025,LIFE_HEALTH_EU,CapitalCost,2640000,
2025-03,Q1-2025,2025,LIFE_HEALTH_EU,Claims,27840000,28675200
2025-03,Q1-2025,2025,LIFE_HEALTH_EU,ExpectedProfit,2400000,
2025-03,Q1-2025,2025,LIFE_HEALTH_EU,ExternalCost,4800000,4944000
2025-03,Q1-2025,2025,LIFE_HEALTH_EU,InternalCost,5760000,
2025-03,Q1-2025,2025,LIFE_HEALTH_EU,Premium,48000000,49440000
2025-03,Q1-2025,2025,MOTOR,CapitalCost,3025000,
2025-03,Q1-2025,2025,MOTOR,Claims,37585778,38713351
2025-03,Q1-2025,2025,MOTOR,ExpectedProfit,2750000,
2025-03,Q1-2025,2025,MOTOR,ExternalCost,5500000,5665000
2025-03,Q1-2025,2025,MOTOR,InternalCost,6600000,
2025-03,Q1-2025,2025,MOTOR,Premium,55000000,56650000
2025-03,Q1-2025,2025,SPECIALTY_AVTN,CapitalCost,1375000,
2025-03,Q1-2025,2025,SPECIALTY_AVTN,Claims,15750000,16222500
2025-03,Q1-2025,2025,SPECIALTY_AVTN,ExpectedProfit,1250000,
2025-03,Q1-2025,2025,SPECIALTY_AVTN,ExternalCost,2500000,2575000
2025-03,Q1-2025,2025,SPECIALTY_AVTN,InternalCost,3000000,
2025-03,Q1-2025,2025,SPECIALTY_AVTN,Premium,25000000,25750000
2025-03,Q1-2025,2025,TECH_RISK,CapitalCost,1760000,
2025-03,Q1-2025,2025,TECH_RISK,Claims,15273244,15731441
2025-03,Q1-2025,2025,TECH_RISK,ExpectedProfit,1600000,
2025-03,Q1-2025,2025,TECH_RISK,ExternalCost,3200000,3296000
2025-03,Q1-2025,2025,TECH_RISK,InternalCost,3840000,
2025-03,Q1-2025,2025,TECH_RISK,Premium,32000000,32960000
2025-03,Q1-2025,2025,TRANSPORT,CapitalCost,1210000,
2025-03,Q1-2025,2025,TRANSPORT,Claims,13542222,13948489
2025-03,Q1-2025,2025,TRANSPORT,ExpectedProfit,1100000,
2025-03,Q1-2025,2025,TRANSPORT,ExternalCost,2200000,2266000
2025-03,Q1-2025,2025,TRANSPORT,InternalCost,2640000,
2025-03,Q1-2025,2025,TRANSPORT,Premium,22000000,22660000
2025-04,Q2-2025,2025,COMM_FIRE,CapitalCost,2475000,
2025-04,Q2-2025,2025,COMM_FIRE,Claims,23740000,23502600
2025-04,Q2-2025,2025,COMM_FIRE,ExpectedProfit,2250000,
2025-04,Q2-2025,2025,COMM_FIRE,ExternalCost,4500000,4455000
2025-04,Q2-2025,2025,COMM_FIRE,InternalCost,5400000,
2025-04,Q2-2025,2025,COMM_FIRE,Premium,45000000,44550000
2025-04,Q2-2025,2025,HOUSEHOLD,CapitalCost,4125000,
2025-04,Q2-2025,2025,HOUSEHOLD,Claims,41621549,41205334
2025-04,Q2-2025,2025,HOUSEHOLD,ExpectedProfit,3750000,
2025-04,Q2-2025,2025,HOUSEHOLD,ExternalCost,7500000,7425000
2025-04,Q2-2025,2025,HOUSEHOLD,InternalCost,9000000,
2025-04,Q2-2025,2025,HOUSEHOLD,Premium,76500000,75735000
2025-04,Q2-2025,2025,LIABILITY,CapitalCost,2090000,
2025-04,Q2-2025,2025,LIABILITY,Claims,23940000,23700600
2025-04,Q2-2025,2025,LIABILITY,ExpectedProfit,1900000,
2025-04,Q2-2025,2025,LIABILITY,ExternalCost,3800000,3762000
2025-04,Q2-2025,2025,LIABILITY,InternalCost,4560000,
2025-04,Q2-2025,2025,LIABILITY,Premium,38000000,37620000
2025-04,Q2-2025,2025,LIFE_HEALTH_EU,CapitalCost,2640000,
2025-04,Q2-2025,2025,LIFE_HEALTH_EU,Claims,27840000,27561600
2025-04,Q2-2025,2025,LIFE_HEALTH_EU,ExpectedProfit,2400000,
2025-04,Q2-2025,2025,LIFE_HEALTH_EU,ExternalCost,4800000,4752000
2025-04,Q2-2025,2025,LIFE_HEALTH_EU,InternalCost,5760000,
2025-04,Q2-2025,2025,LIFE_HEALTH_EU,Premium,48000000,47520000
2025-04,Q2-2025,2025,MOTOR,CapitalCost,3025000,
2025-04,Q2-2025,2025,MOTOR,Claims,39081778,38690960
2025-04,Q2-2025,2025,MOTOR,ExpectedProfit,2750000,
2025-04,Q2-2025,2025,MOTOR,ExternalCost,5500000,5445000
2025-04,Q2-2025,2025,MOTOR,InternalCost,6600000,
2025-04,Q2-2025,2025,MOTOR,Premium,55000000,54450000
2025-04,Q2-2025,2025,SPECIALTY_AVTN,CapitalCost,1375000,
2025-04,Q2-2025,2025,SPECIALTY_AVTN,Claims,15750000,15592500
2025-04,Q2-2025,2025,SPECIALTY_AVTN,ExpectedProfit,1250000,
2025-04,Q2-2025,2025,SPECIALTY_AVTN,ExternalCost,2500000,2475000
2025-04,Q2-2025,2025,SPECIALTY_AVTN,InternalCost,3000000,
2025-04,Q2-2025,2025,SPECIALTY_AVTN,Premium,25000000,24750000
2025-04,Q2-2025,2025,TECH_RISK,CapitalCost,1760000,
2025-04,Q2-2025,2025,TECH_RISK,Claims,13686044,13549184
2025-04,Q2-2025,2025,TECH_RISK,ExpectedProfit,1600000,
